sciname,comname,iucn_sid,cat_code
Cheilodipterus isostigmus,NA,NA,NE
Cheilodipterus artus,NA,NA,NE
Cheilodipterus macrodon,NA,NA,NE
Gymnapogon philippinus,NA,NA,NE
Gymnapogon urospilotus,NA,NA,NE
Pseudamiops gracilicauda,NA,NA,NE
Hoplolatilus cuniculus,NA,NA,NE
Hoplolatilus fronticinctus,NA,NA,NE
Hoplolatilus starcki,NA,NA,NE
Malacanthus brevirostris,NA,NA,NE
Malacanthus latovittatus,NA,NA,CR
Malacanthus latovittatus,NA,NA,DD
Malacanthus latovittatus,NA,NA,EN
Equulites stercorarius,NA,NA,NE
Gerres oblongus,NA,NA,NE
Pempheris oualensis,NA,NA,NE
Parapriacanthus ransonneti,NA,NA,NE
Monodactylus argenteus,NA,NA,NE
Sebastapistes cyanostigma,NA,NA,NE
Scorpaenodes kelloggi,NA,NA,NE
Synanceia verrucosa,NA,NA,NE
Inimicus didactylus,NA,NA,NE
Dendrochirus biocellatus,NA,NA,NE
Amblycirrhitus bimacula,NA,NA,NE
Neocirrhites armatus,NA,NA,NE
Melichthys vidua,NA,NA,NE
Rhinecanthus aculeatus,NA,NA,NE
Rhinecanthus rectangulus,NA,NA,NE
Sufflamen chrysopterum,NA,NA,NE
Nemipterus tambuloides,NA,NA,NE
Nemipterus isacanthus,NA,NA,NE
Parascolopsis eriomma,NA,NA,NE
Parascolopsis inermis,NA,NA,NE
Parascolopsis tanyactis,NA,NA,NE
Parascolopsis tosensis,NA,NA,NE
Pentapodus bifasciatus,NA,NA,NE
Pentapodus setosus,NA,NA,NE
Scolopsis xenochroa,NA,NA,NE
Scolopsis vosmeri,NA,NA,NE
Scolopsis aurata,NA,NA,NE
Paracirrhites hemistictus,NA,NA,NE
Corythoichthys flavofasciatus,NA,NA,NE
Cosmocampus banneri,NA,NA,NE
Halicampus nitidus,NA,NA,NE
Minyichthys myersi,NA,NA,NE
Ambassis kopsii,NA,NA,NE
Parupeneus trifasciatus,NA,NA,NE
Pomadasys kaakan,NA,NA,NE
Balistapus undulatus,NA,NA,NE
Balistoides viridescens,NA,NA,NE
Pseudobalistes flavimarginatus,NA,NA,NE
Rhinecanthus verrucosus,NA,NA,NE
Sufflamen bursa,NA,NA,NE
Xanthichthys auromarginatus,NA,NA,NE
Chirocentrus dorab,NA,NA,NE
Xanthichthys caeruleolineatus,NA,NA,NE
Plectorhinchus albovittatus,NA,NA,NE
Plectorhinchus chaetodonoides,NA,NA,NE
Plectorhinchus obscurus,NA,NA,NE
Plectorhinchus picus,NA,NA,NE
Karalla dussumieri,NA,NA,NE
Gymnothorax javanicus,NA,NA,NE
Apistus carinatus,NA,NA,NE
Inimicus japonicus,NA,NA,NE
Minous monodactylus,NA,NA,NE
Synanceia horrida,NA,NA,NE
Allenbatrachus grunniens,NA,NA,NE
Gymnothorax pictus,NA,NA,NE
Lactoria cornuta,NA,NA,NE
Polydactylus sexfilis,NA,NA,NE
Anarchias allardicei,NA,NA,NE
Anarchias cantonensis,NA,NA,NE
Echidna leucotaenia,NA,NA,NE
Echidna unicolor,NA,NA,NE
Enchelycore bayeri,NA,NA,NE
Enchelynassa canina,NA,NA,NE
Gymnothorax buroensis,NA,NA,NE
Gymnothorax enigmaticus,NA,NA,NE
Gymnothorax fimbriatus,NA,NA,NE
Gymnothorax fuscomaculatus,NA,NA,NE
Gymnothorax gracilicauda,NA,NA,NE
Gymnothorax hepaticus,NA,NA,NE
Myripristis vittata,NA,NA,NE
Myripristis adusta,NA,NA,NE
Amphiprion ocellaris,NA,NA,NE
Abudefduf bengalensis,NA,NA,NE
Amblygobius linki,NA,NA,NE
Amphiprion frenatus,NA,NA,NE
Ostorhinchus endekataenia,NA,NA,NE
Johnius dussumieri,NA,NA,NE
Girella punctata,NA,NA,NE
Oplegnathus punctatus,NA,NA,NE
Chromis analis,NA,NA,NE
Diodon liturosus,NA,NA,NE
Dischistodus chrysopoecilus,NA,NA,NE
Lactoria diaphana,NA,NA,NE
Ostracion cubicus,NA,NA,NE
Ostracion meleagris,NA,NA,NE
Parapercis clathrata,NA,NA,NE
Parapercis cylindrica,NA,NA,NE
Valenciennea strigata,NA,NA,NE
Ostracion solorensis,NA,NA,NE
Gymnothorax richardsonii,NA,NA,NE
Neoniphon opercularis,NA,NA,NE
Cheilodactylus zonatus,NA,NA,NE
Chromis leucura,NA,NA,NE
Jaydia poecilopterus,NA,NA,NE
Chrysiptera starcki,NA,NA,NE
Chrysiptera tricincta,NA,NA,NE
Ostorhinchus fasciatus,NA,NA,NE
Dischistodus prosopotaenia,NA,NA,NE
Thamnaconus modestus,NA,NA,NE
Parma polylepis,NA,NA,NE
Pomacentrus lepidogenys,NA,NA,NE
Pomacentrus nigromarginatus,NA,NA,NE
Plectorhinchus diagrammus,NA,NA,NE
Abudefduf vaigiensis,NA,NA,NE
Premnas biaculeatus,NA,NA,NE
Elates ransonnettii,NA,NA,NE
Paramonacanthus filicauda,NA,NA,NE
Pseudorhombus spinosus,NA,NA,NE
Trixiphichthys weberi,NA,NA,NE
Euristhmus lepturus,NA,NA,NE
Sphyraena helleri,NA,NA,CR
Sphyraena helleri,NA,NA,DD
Sphyraena helleri,NA,NA,EN
Conger cinereus,NA,NA,NE
Acanthochromis polyacanthus,NA,NA,NE
Chromis chrysura,NA,NA,NE
Gymnothorax eurostus,NA,NA,NE
Parapercis millepunctata,NA,NA,NE
Amblyeleotris guttata,NA,NA,CR
Amblyeleotris guttata,NA,NA,DD
Amblyeleotris guttata,NA,NA,EN
Parapercis tetracantha,NA,NA,NE
Amblygobius albimaculatus,NA,NA,NE
Chrysiptera hemicyanea,NA,NA,NE
Pomacentrus alexanderae,NA,NA,NE
Neoglyphidodon thoracotaeniatus,NA,NA,NE
Chromis ovatiformes,NA,NA,NE
Plectorhinchus lineatus,NA,NA,NE
Xanthichthys lineopunctatus,NA,NA,NE
Halosauropsis macrochir,NA,NA,NE
Anomalops katoptron,NA,NA,NE
Photoblepharon palpebratum,NA,NA,NE
Dentatherina merceri,NA,NA,NE
Siokunichthys herrei,NA,NA,NE
Amblyeleotris steinitzi,NA,NA,NE
Amblygobius decussatus,NA,NA,NE
Asterropteryx semipunctata,NA,NA,NE
Bathygobius cocosensis,NA,NA,NE
Bryaninops natans,NA,NA,NE
Callogobius maculipinnis,NA,NA,NE
Callogobius okinawae,NA,NA,NE
Cryptocentrus cinctus,NA,NA,NE
Ctenogobiops pomastictus,NA,NA,NE
Ctenogobiops tangaroai,NA,NA,NE
Gobiodon okinawae,NA,NA,NE
Oplopomus oplopomus,NA,NA,NE
Paragobiodon echinocephalus,NA,NA,NE
Paragobiodon xanthosoma,NA,NA,NE
Priolepis cincta,NA,NA,NE
Trimma okinawae,NA,NA,NE
Valenciennea longipinnis,NA,NA,NE
Valenciennea muralis,NA,NA,NE
Valenciennea sexguttata,NA,NA,NE
Acentrogobius nebulosus,NA,NA,NE
Amblyeleotris fasciata,NA,NA,NE
Amblyeleotris fontanesii,NA,NA,NE
Amblyeleotris periophthalma,NA,NA,NE
Amblyeleotris randalli,NA,NA,NE
Cryptocentroides insignis,NA,NA,NE
Cryptocentrus octofasciatus,NA,NA,NE
Lotilia graciliosa,NA,NA,NE
Amblygobius nocturnus,NA,NA,NE
Oplopomops diacanthus,NA,NA,NE
Signigobius biocellatus,NA,NA,NE
Bathygobius cotticeps,NA,NA,NE
Callogobius centrolepis,NA,NA,NE
Callogobius hasseltii,NA,NA,NE
Callogobius plumatus,NA,NA,NE
Callogobius sclateri,NA,NA,NE
Eviota albolineata,NA,NA,NE
Eviota herrei,NA,NA,NE
Eviota prasina,NA,NA,NE
Eviota sebreei,NA,NA,NE
Uropterygius concolor,NA,NA,NE
Gymnothorax melatremus,NA,NA,NE
Gymnothorax monochrous,NA,NA,NE
Uropterygius xanthopterus,NA,NA,NE
Scolecenchelys gymnota,NA,NA,NE
Scolecenchelys macroptera,NA,NA,NE
Muraenichthys schultzei,NA,NA,NE
Ophichthus cephalozona,NA,NA,NE
Synodus binotatus,NA,NA,NE
Antennarius commerson,NA,NA,NE
Antennatus dorehensis,NA,NA,NE
Antennarius randalli,NA,NA,NE
Antennatus rosaceus,NA,NA,NE
Brotula multibarbata,NA,NA,NE
Brosmophyciops pautzkei,NA,NA,NE
Dinematichthys iluocoeteoides,NA,NA,NE
Stenatherina panatela,NA,NA,NE
Myripristis kuntee,NA,NA,NE
Myripristis violacea,NA,NA,NE
Neoniphon argenteus,NA,NA,NE
Sargocentron tiereoides,NA,NA,NE
Apocryptodon madurensis,NA,NA,NE
Sigmops elongatus,NA,NA,CR
Sigmops elongatus,NA,NA,DD
Sigmops elongatus,NA,NA,EN
Cyclothone atraria,NA,NA,NE
Danaphos oculatus,NA,NA,NE
Astronesthes lucifer,NA,NA,NE
Hime japonica,NA,NA,NE
Lestidiops mirabilis,NA,NA,NE
Bolinichthys longipes,NA,NA,NE
Diaphus schmidti,NA,NA,NE
Lampadena urophaos,NA,NA,NE
Lampanyctus steinbecki,NA,NA,NE
Triphoturus nigrescens,NA,NA,NE
Benthosema fibulatum,NA,NA,NE
Idiolychnus urolampus,NA,NA,NE
Diaphus adenomus,NA,NA,NE
Diaphus chrysorhynchus,NA,NA,NE
Diaphus phillipsi,NA,NA,NE
Nannobrachium nigrum,NA,NA,NE
Chilorhinus platyrhynchus,NA,NA,NE
Scuticaria tigrina,NA,NA,NE
Enchelycore pardalis,NA,NA,NE
Gymnothorax berndti,NA,NA,NE
Gymnothorax nudivomer,NA,NA,NE
Phyllophichthus xenodontus,NA,NA,NE
Schultzidia johnstonensis,NA,NA,NE
Leiuranus semicinctus,NA,NA,NE
Ophichthus polyophthalmus,NA,NA,NE
Periophthalmodon freycineti,NA,NA,NE
Periophthalmus argentilineatus,NA,NA,NE
Periophthalmus gracilis,NA,NA,NE
Periophthalmus kalolo,NA,NA,NE
Cheilodactylus vittatus,NA,NA,NE
Periophthalmus malaccensis,NA,NA,NE
Periophthalmus minutus,NA,NA,NE
Scartelaos histophorus,NA,NA,NE
Paraplagusia blochii,NA,NA,NE
Gymnothorax herrei,NA,NA,NE
Nettastoma solitarium,NA,NA,NE
Hyporhamphus acutus,NA,NA,NE
Cheilopogon atrisignis,NA,NA,NE
Fusigobius signipinnis,NA,NA,NE
Lophiodes naresi,NA,NA,NE
Lophiodes triradiatus,NA,NA,NE
Lophiodes mutilus,NA,NA,NE
Lophiomus setigerus,NA,NA,NE
Cynoglossus arel,NA,NA,NE
Uroconger lepturus,NA,NA,NE
Alepocephalus bicolor,NA,NA,NE
Hymenocephalus torvus,NA,NA,NE
Coelorinchus acutirostris,NA,NA,NE
Trachonurus villosus,NA,NA,NE
Malthopsis lutea,NA,NA,NE
Malthopsis annulifera,NA,NA,NE
Halicmetus reticulatus,NA,NA,NE
Uranoscopus bicinctus,NA,NA,NE
Halimochirurgus alcocki,NA,NA,NE
Plectorhinchus flavomaculatus,NA,NA,NE
Arnoglossus dalgleishi,NA,NA,NE
Eviota spilota,NA,NA,NE
Crossorhombus valderostratus,NA,NA,NE
Laeops nigromaculatus,NA,NA,NE
Cynoglossus kopsii,NA,NA,NE
Branchiostegus sawakinensis,NA,NA,NE
Callionymus marleyi,NA,NA,NE
Antigonia rubescens,NA,NA,NE
Cynoglossus monopus,NA,NA,NE
Psenopsis obscura,NA,NA,NE
Cynoglossus suyeni,NA,NA,NE
Ariosoma mauritianum,NA,NA,NE
Ariosoma scheelei,NA,NA,NE
Coloconger scholesi,NA,NA,NE
Conger wilsoni,NA,NA,NE
Bathycongrus wallacei,NA,NA,NE
Symphurus strictus,NA,NA,NE
Drepane longimana,NA,NA,NE
Rexea prometheoides,NA,NA,NE
Thyrsitoides marleyi,NA,NA,NE
Plectorhinchus chubbi,NA,NA,NE
Plectorhinchus schotaf,NA,NA,NE
Pomadasys furcatus,NA,NA,NE
Hemiramphus lutkei,NA,NA,NE
Hyporhamphus affinis,NA,NA,NE
Sargocentron praslin,NA,NA,NE
Bulbonaricus davaoensis,NA,NA,NE
Festucalex erythraeus,NA,NA,NE
Cypselurus naresii,NA,NA,NE
Hippichthys cyanospilos,NA,NA,NE
Phoxocampus tetrophthalmus,NA,NA,NE
Leiognathus berbis,NA,NA,NE
Cyprinocirrhites polyactis,NA,NA,NE
Myripristis amaena,NA,NA,NE
Sebastapistes coniorta,NA,NA,NE
Johnius amblycephalus,NA,NA,NE
Gobiodon citrinus,NA,NA,CR
Gobiodon citrinus,NA,NA,DD
Gobiodon citrinus,NA,NA,EN
Pseudanthias evansi,NA,NA,NE
Synchiropus stellatus,NA,NA,NE
Microcanthus strigatus,NA,NA,NE
Chromis ovalis,NA,NA,NE
Lactoria fornasini,NA,NA,NE
Ventrifossa divergens,NA,NA,NE
Ariosoma anagoides,NA,NA,NE
Liza alata,NA,NA,NE
Parapercis hexophtalma,NA,NA,NE
Uropterygius macrocephalus,NA,NA,NE
Parapercis schauinslandii,NA,NA,NE
Caracanthus maculatus,NA,NA,NE
Upeneus japonicus,NA,NA,NE
Gymnomuraena zebra,NA,NA,NE
Gymnothorax breedeni,NA,NA,NE
Gymnothorax phasmatodes,NA,NA,NE
Histiopterus typus,NA,NA,NE
Bembrops platyrhynchus,NA,NA,NE
Papilloculiceps longiceps,NA,NA,NE
Plotosus nkunga,NA,NA,NE
Polydactylus plebeius,NA,NA,NE
Scatophagus tetracanthus,NA,NA,NE
Parapterois heterura,NA,NA,NE
Synaptura marginata,NA,NA,NE
Sphyraena flavicauda,NA,NA,NE
Sphyraena putnamae,NA,NA,NE
Sphyraena qenie,NA,NA,NE
Synodus indicus,NA,NA,NE
Pelates quadrilineatus,NA,NA,NE
Terapon puta,NA,NA,NE
Tentoriceps cristatus,NA,NA,NE
Acreichthys radiatus,NA,NA,NE
Chaetodermis penicilligerus,NA,NA,NE
Paramonacanthus nipponensis,NA,NA,NE
Neosynchiropus ocellatus,NA,NA,NE
Rudarius excelsus,NA,NA,NE
Plesiops coeruleolineatus,NA,NA,NE
Sillaginopodys chondropus,NA,NA,NE
Apogon semiornatus,NA,NA,NE
Lepidamia multitaeniata,NA,NA,NE
Fowleria aurita,NA,NA,NE
Apogonichthyoides nigripinnis,NA,NA,NE
Amphiprion akallopisos,NA,NA,NE
Cubiceps whiteleggii,NA,NA,NE
Oxyurichthys papuensis,NA,NA,NE
Butis koilomatodon,NA,NA,NE
Moringua microchir,NA,NA,NE
Cirrhimuraena playfairii,NA,NA,NE
Myrichthys colubrinus,NA,NA,NE
Pisodonophis cancrivorus,NA,NA,NE
Ophichthus apicalis,NA,NA,NE
Tetrosomus concatenatus,NA,NA,NE
Lophodiodon calori,NA,NA,NE
Antennarius hispidus,NA,NA,NE
Parapercis pulchella,NA,NA,NE
Gymnocranius elongatus,NA,NA,NE
Halicmetus ruber,NA,NA,NE
Amphiprion polymnus,NA,NA,NE
Tetrabrachium ocellatum,NA,NA,NE
Hypoatherina ovalaua,NA,NA,NE
Strongylura incisa,NA,NA,NE
Chromis iomelas,NA,NA,NE
Pristotis obtusirostris,NA,NA,NE
Plotosus canius,NA,NA,NE
Halieutaea fumosa,NA,NA,NE
Monocentris japonica,NA,NA,CR
Monocentris japonica,NA,NA,DD
Monocentris japonica,NA,NA,EN
Neocentropogon aeglefinus,NA,NA,NE
Pampus chinensis,NA,NA,NE
Parapercis alboguttata,NA,NA,NE
Pempheris molucca,NA,NA,NE
Pseudotriacanthus strigilifer,NA,NA,NE
Rhynchostracion nasus,NA,NA,NE
Sirembo imberbis,NA,NA,NE
Zebrias quagga,NA,NA,NE
Neopomacentrus cyanomos,NA,NA,NE
Psammoperca waigiensis,NA,NA,NE
Emmelichthys struhsakeri,NA,NA,NE
Ostorhinchus kiensis,NA,NA,NE
Jaydia lineata,NA,NA,NE
Apogonichthyoides niger,NA,NA,NE
Ariomma luridum,NA,NA,NE
Ariosoma anago,NA,NA,NE
Chaunax abei,NA,NA,NE
Chelidoperca hirundinacea,NA,NA,NE
Cynoglossus lingua,NA,NA,NE
Dactyloptena macracantha,NA,NA,NE
Dactylopus dactylopus,NA,NA,NE
Dischistodus pseudochrysopoecilus,NA,NA,NE
Ephippus orbis,NA,NA,NE
Eupleurogrammus muticus,NA,NA,NE
Gargariscus prionocephalus,NA,NA,NE
Gnathophis nystromi,NA,NA,NE
Gymnothorax thyrsoideus,NA,NA,NE
Hoplichthys gilberti,NA,NA,NE
Hyporhamphus quoyi,NA,NA,NE
Ryukyupercis gushikeni,NA,NA,NE
Pomacentrus tripunctatus,NA,NA,NE
Psettina gigantea,NA,NA,NE
Pseudorhombus argus,NA,NA,NE
Pseudorhombus quinquocellatus,NA,NA,NE
Repomucenus huguenini,NA,NA,NE
Ostracion rhinorhynchos,NA,NA,NE
Samaris cristatus,NA,NA,NE
Satyrichthys rieffeli,NA,NA,NE
Synodus macrops,NA,NA,NE
Chrysochir aureus,NA,NA,NE
Nibea soldado,NA,NA,NE
Panna microdon,NA,NA,NE
Paranibea semiluctuosa,NA,NA,NE
Brachirus orientalis,NA,NA,NE
Lepturacanthus savala,NA,NA,NE
Plectorhinchus pictus,NA,NA,NE
Plectorhinchus polytaenia,NA,NA,NE
Valamugil speigleri,NA,NA,NE
Pennahia macrocephalus,NA,NA,NE
Liachirus melanospilos,NA,NA,NE
Parapercis filamentosa,NA,NA,NE
Tripodichthys blochii,NA,NA,NE
Periophthalmodon schlosseri,NA,NA,NE
Bregmaceros mcclellandi,NA,NA,NE
Coelorinchus argentatus,NA,NA,NE
Coelorinchus argus,NA,NA,NE
Coelorinchus formosanus,NA,NA,NE
Priolepis fallacincta,NA,NA,NE
Rexea bengalensis,NA,NA,NE
Sillago aeolus,NA,NA,NE
Sillago asiatica,NA,NA,NE
Sillago ingenuua,NA,NA,NE
Nezumia propinqua,NA,NA,NE
Nezumia proxima,NA,NA,NE
Sillago lutea,NA,NA,NE
Sillaginops macrolepis,NA,NA,NE
Homostolus acer,NA,NA,NE
Tanakius kitaharae,NA,NA,NE
Cleisthenes herzensteini,NA,NA,NE
Benthodesmus tuckeri,NA,NA,NE
Benthodesmus vityazi,NA,NA,NE
Eupleurogrammus glossodon,NA,NA,NE
Samariscus triocellatus,NA,NA,NE
Ostorhinchus doederleini,NA,NA,NE
Ostorhinchus hoevenii,NA,NA,NE
Ostorhinchus moluccensis,NA,NA,NE
Fowleria vaiulae,NA,NA,NE
Neamia octospina,NA,NA,NE
Strophidon sathete,NA,NA,NE
Trichiurus auriga,NA,NA,NE
Ventrifossa nigrodorsalis,NA,NA,NE
Ventrifossa petersonii,NA,NA,NE
Citharoides macrolepidotus,NA,NA,NE
Lepidoblepharon ophthalmolepis,NA,NA,NE
Pseudorhombus jenynsii,NA,NA,NE
Pseudorhombus pentophthalmus,NA,NA,NE
Eopsetta grigorjewi,NA,NA,NE
Neolaeops microphthalmus,NA,NA,NE
Psettina brevirictis,NA,NA,NE
Cynoglossus interruptus,NA,NA,NE
Cynoglossus joyneri,NA,NA,NE
Paraplagusia japonica,NA,NA,NE
Xyelacyba myersi,NA,NA,NE
Zebrias zebra,NA,NA,NE
Eutaeniophorus festivus,NA,NA,NE
Avocettina acuticeps,NA,NA,NE
Zenion longipinnis,NA,NA,NE
Brachypterois serrulata,NA,NA,NE
Encheliophis gracilis,NA,NA,NE
Acanthocepola limbata,NA,NA,NE
Acanthocepola krusensternii,NA,NA,NE
Belonepterygion fasciolatum,NA,NA,NE
Acropoma hanedai,NA,NA,NE
Malakichthys wakiyae,NA,NA,NE
Bleekeria mitsukurii,NA,NA,NE
Aploactis aspera,NA,NA,NE
Jaydia carinatus,NA,NA,NE
Ostorhinchus cookii,NA,NA,NE
Cynoglossus maculipinnis,NA,NA,NE
Antennarius maculatus,NA,NA,NE
Amblypomacentrus breviceps,NA,NA,NE
Chaunax penicillatus,NA,NA,NE
Priacanthus fitchi,NA,NA,NE
Pomadasys guoraca,NA,NA,NE
Priacanthus zaiserae,NA,NA,NE
Caffrogobius gilchristi,NA,NA,NE
Drombus triangularis,NA,NA,NE
Gobiodon rivulatus,NA,NA,NE
Hemiramphus marginatus,NA,NA,NE
Dischistodus fasciatus,NA,NA,NE
Silhouettea insinuans,NA,NA,NE
Gymnothorax kidako,NA,NA,NE
Gymnothorax reevesii,NA,NA,NE
Gymnothorax reticularis,NA,NA,NE
Melanostomias macrophotus,NA,NA,NE
Neoscopelus microchir,NA,NA,NE
Cubiceps baxteri,NA,NA,NE
Astronesthes martensii,NA,NA,NE
Pseudechidna brummeri,NA,NA,NE
Uropterygius micropterus,NA,NA,NE
Netuma thalassina,NA,NA,NE
Neopomacentrus anabatoides,NA,NA,NE
Encheliophis vermicularis,NA,NA,NE
Neopomacentrus azysron,NA,NA,NE
Ablabys taenianotus,NA,NA,NE
Nettastoma parviceps,NA,NA,NE
Parma oligolepis,NA,NA,NE
Halieutaea fitzsimonsi,NA,NA,NE
Stomias nebulosus,NA,NA,NE
Diaphus signatus,NA,NA,NE
Diaphus watasei,NA,NA,NE
Polymixia berndti,NA,NA,NE
Antennarius pictus,NA,NA,NE
Pomacentrus opisthostigma,NA,NA,NE
Pomacentrus taeniometopon,NA,NA,NE
Velifer hypselopterus,NA,NA,NE
Ostorhinchus apogonoides,NA,NA,NE
Atrophacanthus japonicus,NA,NA,NE
Triacanthodes ethiops,NA,NA,NE
Tydemania navigatoris,NA,NA,NE
Cyclichthys spilostylus,NA,NA,NE
Grammoplites scaber,NA,NA,NE
Sorsogona tuberculata,NA,NA,NE
Minous pictus,NA,NA,NE
Apistops caloundra,NA,NA,NE
Astronesthes chrysophekadion,NA,NA,NE
Astronesthes cyaneus,NA,NA,NE
Eustomias bifilis,NA,NA,NE
Photonectes albipennis,NA,NA,NE
Diaphus coeruleus,NA,NA,NE
Lophiocharon trisignatus,NA,NA,NE
Halieutaea stellata,NA,NA,NE
Halieutaea indica,NA,NA,NE
Manducus greyae,NA,NA,NE
Cyttopsis cypho,NA,NA,NE
Suggrundus macracanthus,NA,NA,NE
Synagrops philippinensis,NA,NA,NE
Centrogenys vaigiensis,NA,NA,NE
Ostorhinchus septemstriatus,NA,NA,NE
Johnius macropterus,NA,NA,NE
Pempheris vanicolensis,NA,NA,NE
Acanthocepola abbreviata,NA,NA,NE
Opistognathus castelnaui,NA,NA,NE
Champsodon nudivittis,NA,NA,NE
Champsodon guentheri,NA,NA,NE
Scombrops boops,NA,NA,NE
Callionymus japonicus,NA,NA,NE
Lepidotrigla spiloptera,NA,NA,NE
Argyrosomus amoyensis,NA,NA,NE
Setarches longimanus,NA,NA,NE
Ebosia bleekeri,NA,NA,NE
Polyipnus triphanos,NA,NA,NE
Ophichthus urolophus,NA,NA,NE
Astronesthes splendidus,NA,NA,NE
Harpadon microchir,NA,NA,NE
Saurida wanieso,NA,NA,NE
Chlorophthalmus albatrossis,NA,NA,NE
Diaphus suborbitalis,NA,NA,NE
Stemonosudis rothschildi,NA,NA,NE
Sebastiscus tertius,NA,NA,NE
Lepidotrigla japonica,NA,NA,NE
Peristedion liorhynchus,NA,NA,NE
Pterygotrigla ryukyuensis,NA,NA,NE
Bembradium roseum,NA,NA,NE
Bembras japonica,NA,NA,NE
Malakichthys elegans,NA,NA,NE
Symphysanodon maunaloae,NA,NA,NE
Parupeneus chrysopleuron,NA,NA,NE
Upeneus quadrilineatus,NA,NA,NE
Cirrhitichthys aureus,NA,NA,NE
Cepola schlegelii,NA,NA,NE
Owstonia totomiensis,NA,NA,NE
Champsodon longipinnis,NA,NA,NE
Bembrops curvatura,NA,NA,NE
Chrionema chlorotaenia,NA,NA,NE
Xenocephalus elongatus,NA,NA,NE
Ariomma brevimanum,NA,NA,NE
Pseudorhombus dupliciocellatus,NA,NA,NE
Cynoglossus abbreviatus,NA,NA,NE
Ophidion muraenolepis,NA,NA,NE
Sirembo jerdoni,NA,NA,NE
Cottapistus cottoides,NA,NA,NE
Inimicus sinensis,NA,NA,NE
Satyrichthys moluccensis,NA,NA,NE
Erisphex aniarus,NA,NA,NE
Pseudochromis quinquedentatus,NA,NA,NE
Upeneus luzonius,NA,NA,NE
Platax batavianus,NA,NA,NE
Uranoscopus cognatus,NA,NA,NE
Pseudomonacanthus peroni,NA,NA,NE
Bathycongrus guttulatus,NA,NA,NE
Macrocephenchelys brevirostris,NA,NA,NE
Polyipnus tridentifer,NA,NA,NE
Microphotolepis multipunctata,NA,NA,NE
Triacanthus nieuhofii,NA,NA,NE
Halimochirurgus centriscoides,NA,NA,NE
Macrorhamphosodes platycheilus,NA,NA,NE
Uranoscopus kaianus,NA,NA,NE
Plectranthias japonicus,NA,NA,NE
Hoplichthys regani,NA,NA,NE
Symphysanodon typus,NA,NA,NE
Poecilopsetta colorata,NA,NA,NE
Poecilopsetta praelonga,NA,NA,NE
Aseraggodes cyaneus,NA,NA,NE
Pseudorhombus neglectus,NA,NA,NE
Tetrosomus reipublicae,NA,NA,NE
Thamnaconus striatus,NA,NA,NE
Pseudomonacanthus macrurus,NA,NA,NE
Synchiropus altivelis,NA,NA,NE
Parapercis sexfasciata,NA,NA,NE
Pennahia pawak,NA,NA,NE
Odontanthias rhodopeplus,NA,NA,NE
Pseudanthias fasciatus,NA,NA,NE
Erisphex philippinus,NA,NA,NE
Neomerinthe procurva,NA,NA,NE
Inimicus cuvieri,NA,NA,NE
Antigonia malayana,NA,NA,NE
Aulotrachichthys latus,NA,NA,NE
Halieutaea coccinea,NA,NA,NE
Hypopleuron caninum,NA,NA,NE
Neobythites longipes,NA,NA,NE
Neobythites macrops,NA,NA,NE
Metavelifer multiradiatus,NA,NA,NE
Hoplostethus melanopus,NA,NA,NE
Cyttus traversi,NA,NA,NE
Neobythites malayanus,NA,NA,NE
Physiculus nigrescens,NA,NA,NE
Myctophum brachygnathum,NA,NA,NE
Chlorophthalmus nigromarginatus,NA,NA,NE
Gymnothorax cribroris,NA,NA,NE
Minous coccineus,NA,NA,NE
Diploconger polystigmatus,NA,NA,NE
Oxyconger leptognathus,NA,NA,NE
Euristhmus nudiceps,NA,NA,NE
Synodus sageneus,NA,NA,NE
Harpadon translucens,NA,NA,NE
Halophryne diemensis,NA,NA,NE
Parapercis multiplicata,NA,NA,NE
Selenanthias analis,NA,NA,NE
Lepidotrigla argus,NA,NA,NE
Pterygotrigla leptacanthus,NA,NA,NE
Cymbacephalus nematophthalmus,NA,NA,NE
Uranoscopus tosae,NA,NA,NE
Inegocia harrisii,NA,NA,NE
Platycephalus endrachtensis,NA,NA,NE
Dactyloptena papilio,NA,NA,NE
Glaucosoma buergeri,NA,NA,NE
Macrorhamphosodes uradoi,NA,NA,NE
Foa albimaculosa,NA,NA,NE
Upeneus asymmetricus,NA,NA,NE
Zabidius novemaculeatus,NA,NA,NE
Chromis fumea,NA,NA,NE
Opistognathus latitabundus,NA,NA,NE
Callionymus moretonensis,NA,NA,NE
Callionymus goodladi,NA,NA,NE
Callionymus grossi,NA,NA,NE
Pseudorhombus diplospilus,NA,NA,NE
Psammodiscus ocellatus,NA,NA,NE
Phyllichthys punctatus,NA,NA,NE
Parupeneus forsskali,NA,NA,NE
Antennarius biocellatus,NA,NA,NE
Antennatus tuberosus,NA,NA,NE
Gladiogobius ensifer,NA,NA,NE
Tragulichthys jaculiferus,NA,NA,NE
Cyclichthys hardenbergi,NA,NA,NE
Laeops parviceps,NA,NA,NE
Equulites moretoniensis,NA,NA,NE
Paraploactis pulvinus,NA,NA,NE
Serrivomer sector,NA,NA,NE
Argyropelecus lychnus,NA,NA,NE
Idiacanthus antrostomus,NA,NA,NE
Scopelosaurus harryi,NA,NA,NE
Amblyeleotris gymnocephala,NA,NA,NE
Pleurosicya elongata,NA,NA,NE
Ostorhinchus multilineatus,NA,NA,NE
Minous trachycephalus,NA,NA,NE
